SampleID	FT_infant_stool	adult_oral	adult_skin	adult_stool	vaginal	Unknown
11712.SUBJECT28.SKIN.597	0.0006000000000000001	0.0006000000000000001	0.004476605857119882	0.0	0.003026549190084311	0.0035552777669262325
11712.SUBJECT22.STOOL.477	0.0016	0.0038781438859330636	0.004749736834815167	0.00132664991614216	0.0023664319132398466	0.0035552777669262048
11712.SUBJECT23.SKIN.491	0.0009797958971132714	0.006324555320336759	0.007166589146867566	0.0006	0.0034000000000000002	0.002653299832284322
11712.SUBJECT10.STOOL.52	0.006881860213634101	0.007613146524269718	0.010346013725102049	0.0041182520563948	0.0018000000000000002	0.0022271057451320082
11712.SUBJECT31.ORAL.690	0.001	0.0006000000000000001	0.005015974481593785	0.0	0.0028354893757515645	0.0028284271247461874
11712.SUBJECT19.STOOL.364	0.005425863986500215	0.0063749509802036915	0.009856977224281287	0.004963869458396343	0.0012806248474865698	0.004963869458396347
11712.SUBJECT43.ORAL.1024	0.22521243304933233	0.0006	0.019494614640972005	0.003440930106817051	0.0009797958971132714	0.24162152222018635
11712.SUBJECT9.ORAL.1167	0.0036932370625238566	0.011251666543228173	0.011661903789690604	0.00128062484748657	0.0027495454169735043	0.003979949748426484
11712.SUBJECT11.ORAL.55	0.001341640786499874	0.014671059948074657	0.012986146464598338	0.0012806248474865698	0.00132664991614216	0.003583294573433783
11712.SUBJECT13.SKIN.111	0.0015620499351813308	0.013629380029920656	0.014305243793798132	0.0028000000000000004	0.008829496021857654	0.007536577472566716
11712.SUBJECT33.STOOL.727	0.0055856960175075816	0.0008	0.002891366458960192	0.0008	0.0010770329614269007	0.003709447398198281
11712.SUBJECT41.STOOL.971	0.0022360679774997916	0.0014966629547095765	0.000916515138991168	0.0006000000000000001	0.0012806248474865698	0.0
11713.25.F.25A	0.0021540659228538018	0.0006000000000000001	0.0032310988842807055	0.0016	0.0018330302779823362	0.002039607805437116
11712.SUBJECT23.STOOL.499	0.010824047302187847	0.005528109984434102	0.00904433524367601	0.011968291440301742	0.0010770329614269009	0.0052306787322488136
11712.SUBJECT18.STOOL.320	0.0018867962264113207	0.0013266499161421602	0.0062896740774065615	0.0008	0.0026000000000000003	0.004103656905736638
11712.SUBJECT14.SKIN.132	0.002891366458960192	0.004494441010848846	0.006660330322138691	0.0008	0.00282842712474619	0.0018
11712.SUBJECT20.SKIN.407	0.0028284271247461905	0.004399999999999999	0.0071999999999999955	0.0021540659228538013	0.002561249694973139	0.001496662954709578
11713.3.F.3A	0.007110555533852477	0.00132664991614216	0.0039799497484264805	0.0008	0.0052306787322488136	0.0022271057451320087
11712.SUBJECT30.ORAL.648	0.001661324772583615	0.031243559336285618	0.030919249667480594	0.0017435595774162693	0.0013999999999999998	0.0
11712.SUBJECT20.STOOL.427	0.008634813257969168	0.0058137767414994535	0.005473572873361604	0.0026832815729997475	0.0013266499161421602	0.0014966629547095765
11713.22.S.22B	0.0006	0.0	0.005276362383309147	0.0044045431091090485	0.0012806248474865698	0.0050000000000000044
11712.SUBJECT34.SKIN.737	0.0062896740774065546	0.007	0.012998461447417549	0.0018867962264113207	0.002039607805437114	0.004103656905736638
11712.SUBJECT40.SKIN.905	0.0018330302779823362	0.0009165151389911681	0.0035552777669262386	0.0	0.002497999199359359	0.0029732137494637013
11712.SUBJECT21.ORAL.436	0.007386474125047756	0.008908422980528031	0.0072663608498339805	0.0065999999999999965	0.0069541354602854905	0.01020588065773845
11712.SUBJECT19.ORAL.336	0.0	0.00601331855134917	0.006337191807101943	0.0	0.0012000000000000001	0.0
11712.SUBJECT23.SKIN.496	0.0008	0.0008	0.003487119154832542	0.000916515138991168	0.00208806130178211	0.002
11712.SUBJECT10.SKIN.44	0.0006	0.0006000000000000001	0.0031240998703626643	0.0	0.003104834939252005	0.0006
11713.15.O.15C	0.0018439088914585775	0.0008	0.013564659966250536	0.003072458299147443	0.0018330302779823362	0.013207573584879255
11713.18.F.18B	0.0006000000000000001	0.0	0.002561249694973142	0.0	0.002690724809414742	0.0
11713.16.O.16A	0.0026	0.005946427498927403	0.00961041102138717	0.0023748684174075773	0.000916515138991168	0.004630334761116094
11713.4.S.4C	0.0008	0.0	0.004103656905736642	0.0006	0.00208806130178211	0.0023748684174075855
11713.10.O.10E	0.001833030277982336	0.0	0.0034000000000000033	0.0	0.0024	0.0006000000000000001
11712.SUBJECT36.STOOL.784	0.009008884503644154	0.00463033476111609	0.007922120928135344	0.005276362383309167	0.0006000000000000001	0.006873136110975825
11712.SUBJECT40.ORAL.886	0.0	0.0050000000000000044	0.004898979485566356	0.0008	0.0008	0.0006000000000000001
11712.SUBJECT8.ORAL.1116	0.00285657137141714	0.012814054783713048	0.00908625335328044	0.0006000000000000001	0.002408318915758459	0.003736308338453881
11712.SUBJECT30.STOOL.688	0.0032249030993194198	0.006225752966509353	0.007652450587883597	0.0010770329614269007	0.004237924020083418	0.00796241169495776
11712.SUBJECT2.STOOL.390	0.005741080037762931	0.031764760348537174	0.03128961489056713	0.0045431266766402184	0.0016	0.0018000000000000002
11712.SUBJECT2.SKIN.385	0.002529822128134704	0.007560423268574304	0.006931089380465388	0.0021908902300206644	0.0013266499161421602	0.005199999999999996
11712.SUBJECT10.SKIN.38	0.006572670690061991	0.005310367218940701	0.0016	0.00833306666239985	0.0012806248474865698	0.0025612496949731422
11712.SUBJECT1.ORAL.6	0.0006000000000000001	0.012831211945876362	0.011933147112141036	0.0006000000000000001	0.002374868417407584	0.000916515138991168
11712.SUBJECT36.ORAL.773	0.0022271057451320087	0.0049839743177508495	0.0048332183894378294	0.0006	0.0009797958971132714	0.0032000000000000028
11712.SUBJECT1.STOOL.24	0.004237924020083419	0.0	0.0010770329614269007	0.0006	0.000916515138991168	0.003773592452822645
11712.SUBJECT43.SKIN.1046	0.0	0.0006000000000000001	0.0026907248094147442	0.0	0.0012000000000000001	0.0018330302779823377
11712.SUBJECT8.SKIN.1146	0.0114122740941497	0.00256124969497314	0.013804347141389912	0.0009165151389911679	0.010809255293497367	0.004543126676640212
11712.SUBJECT29.STOOL.618	0.02542125095269704	0.000916515138991168	0.00132664991614216	0.027129319932501072	0.0008	0.002891366458960192
11712.SUBJECT9.STOOL.1211	0.0021999999999999997	0.0008	0.0022000000000000014	0.0020396078054371143	0.0021999999999999997	0.001886796226411321
