SampleID	FT_infant_stool	adult_oral	adult_skin	adult_stool	vaginal	Unknown
11712.SUBJECT25.SKIN.538	0.0018000000000000002	0.0036	0.9277999999999998	0.0036000000000000003	0.06100000000000001	0.0022
11712.SUBJECT41.ORAL.945	0.0006000000000000001	0.006	0.8623999999999998	0.0008	0.0012000000000000001	0.129
11712.SUBJECT21.STOOL.463	0.9940000000000001	0.0	0.004400000000000001	0.0	0.0014	0.0002
11712.SUBJECT40.SKIN.908	0.0	0.0002	0.9960000000000001	0.0	0.0036000000000000003	0.0002
11712.SUBJECT32.SKIN.717	0.005599999999999999	0.0332	0.9441999999999998	0.003400000000000001	0.0036000000000000003	0.009999999999999998
11712.SUBJECT37.ORAL.793	0.0	0.9918000000000001	0.0082	0.0	0.0	0.0
11712.SUBJECT20.ORAL.395	0.0032	0.9734	0.019799999999999995	0.0012000000000000001	0.0	0.0024000000000000002
11713.21.F.21D	0.0006000000000000001	0.0006000000000000001	0.9976	0.0	0.0012000000000000001	0.0
11712.SUBJECT16.SKIN.176	0.0002	0.003999999999999999	0.7118	0.0056	0.2166	0.06180000000000001
11712.SUBJECT29.ORAL.611	0.0002	0.9804	0.016599999999999997	0.0018000000000000002	0.0	0.001
11712.SUBJECT20.STOOL.427	0.9480000000000001	0.045	0.0048000000000000004	0.0018000000000000002	0.0002	0.0002
11713.20.S.20D	0.0006000000000000001	0.001	0.9873999999999998	0.006199999999999999	0.0028	0.0020000000000000005
11712.SUBJECT8.ORAL.1129	0.037999999999999985	0.011799999999999998	0.7827999999999998	0.022799999999999994	0.06019999999999999	0.08439999999999998
11712.SUBJECT19.ORAL.340	0.0016	0.0006000000000000001	0.9855999999999998	0.0004	0.0020000000000000005	0.009800000000000001
11712.SUBJECT21.ORAL.440	0.005600000000000001	0.0073999999999999995	0.9461999999999999	0.0034000000000000002	0.0002	0.0372
11712.SUBJECT18.STOOL.320	0.0014	0.0008	0.9686	0.001	0.0032	0.024999999999999998
11712.SUBJECT34.SKIN.741	0.0004	0.0008	0.9917999999999999	0.0002	0.005200000000000001	0.0016
11712.SUBJECT25.SKIN.543	0.0038000000000000004	0.004400000000000001	0.9593999999999999	0.0004	0.0068000000000000005	0.0252
11713.5.S.5E	0.0004	0.0004	0.9949999999999998	0.0	0.0026000000000000003	0.0016
11713.20.O.20C	0.0722	0.0622	0.15139999999999998	0.1256	0.024199999999999996	0.5644000000000001
11713.25.O.25E	0.1604	0.17679999999999996	0.2634	0.10540000000000001	0.019799999999999998	0.2742
11713.1.O.1G	0.0128	0.0014	0.7352000000000002	0.029000000000000005	0.002	0.21960000000000002
11712.SUBJECT30.SKIN.673	0.0064	0.0024000000000000002	0.8876000000000002	0.0002	0.0034000000000000002	0.09999999999999999
11712.SUBJECT28.SKIN.594	0.0018000000000000002	0.014000000000000002	0.9425999999999999	0.0012000000000000001	0.0372	0.0032
11712.SUBJECT3.ORAL.625	0.0132	0.978	0.008	0.0008	0.0	0.0
11712.SUBJECT31.STOOL.705	0.017400000000000002	0.8672000000000001	0.11339999999999999	0.0016	0.0004	0.0
11712.SUBJECT23.SKIN.492	0.05820000000000001	0.003	0.8058	0.0002	0.0034000000000000002	0.12940000000000002
11712.SUBJECT34.STOOL.745	0.8784000000000001	0.0034000000000000002	0.0452	0.0	0.003799999999999999	0.06920000000000001
11713.4.F.4B	0.0144	0.0016	0.2996	0.055999999999999994	0.0006000000000000001	0.6277999999999999
11712.SUBJECT10.SKIN.41	0.0032	0.0002	0.9948	0.0	0.0012000000000000001	0.0006000000000000001
11712.SUBJECT41.STOOL.978	0.9987999999999999	0.0004	0.0008	0.0	0.0	0.0
11712.SUBJECT31.ORAL.693	0.015600000000000003	0.3678	0.6134	0.0026000000000000003	0.0004	0.0002
11712.SUBJECT1.STOOL.21	0.1558	0.030400000000000003	0.4504	0.0072	0.0002	0.356
11712.SUBJECT10.STOOL.51	0.2718	0.501	0.21339999999999998	0.0008	0.0064	0.0066
11712.SUBJECT8.ORAL.1127	0.3509999999999999	0.13199999999999995	0.31939999999999996	0.05139999999999999	0.06259999999999998	0.08359999999999998
11712.SUBJECT13.SKIN.112	0.0018000000000000002	0.18719999999999998	0.6798	0.0034000000000000002	0.005600000000000001	0.1222
